Subject,Predicate,Object,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,taken from,https://boardgamegeek.com/boardgame/22938/justinian-intrigue-at-the-emperors-court,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has title,Justinian: Intrigue at the Emperor’s Court,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor's Court,has subject,Justinian I,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has designers,Leo Colovini,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has designers,Alessandro Saragosa,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has publisher,Phalanx Games,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has publisher,Mayfair Games,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has year published,2006,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has artist,Harald Lieske,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has player count,2–4 players,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has playing time,approximately 45 minutes,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has mechanics,Bluffing,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has mechanics,Influence,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has mechanics,Betting,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has components,Game board,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has components,Tokens,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has components,Cards,,,,,,,,,,,,,,,,,,,,,,,
Justinian: Intrigue at the Emperor’s Court,has components,Box,,,,,,,,,,,,,,,,,,,,,,,