#;Object Name;Object Type;Provider;Provided Metadata;Converted Metadata;;;;;;;;;;;;;;;;;;;
1;San Vitale Mosaics;Mosaic - Photographic Heritage;Catalogo Generale Beni Culturali;ArCo;ArCo;;;;;;;;;;;;;;;;;;;
2;Diptych Barberini;Artwork;Musée du Louvre;/;CIDOC-CRM;;;;;;;;;;;;;;;;;;;
3;Procopius - History of the Wars ;Translated Edition - Digital Facsimile;Internet Archive;MARCXML;DCTERMS;;;;;;;;;;;;;;;;;;;
4;Codex Florentinus (Part of Corpus Iuris Civilis);Manuscript Codex - Digital Facsimile;Biblioteca Medicea Laurenziana;TEI/XML;DCTERMS;;;;;;;;;;;;;;;;;;;
5;Coin with Justinian I;Coin;British Museum;MCEMS;NMO/DCTERMS;;;;;;;;;;;;;;;;;;;
6;Teodora, imperatrice di Bisanzio;Movie;IMDb;/;Schema.org;;;;;;;;;;;;;;;;;;;
7;Hagia Sophia;Historical Building - Architectural Record;Archnet;/;SCHEMA/DCTERMS;;;;;;;;;;;;;;;;;;;
8;Justinian Epic Symphony;Video;YouTube;/;Schema.org;;;;;;;;;;;;;;;;;;;
9;Civilization;Video Game;Civilization Fandom Wiki;/;Schema.org;;;;;;;;;;;;;;;;;;;
10;Justinian: Intrigue at the Emperor's Court;Board Game;BoardGameGeek;/;Schema.org;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;